room_type,required_car_parking_spaces,special_requests,rate,total_guests,hotel_type,parking,restaurant,pool_and_spa,avg_review,cancelled_last_30_days,advance_reservation_days,board_FB,board_SC,distribution_channel_Direct,distribution_channel_TA/TO,country_POR,country_SPA,market_segment_Complementary,market_segment_Direct,market_segment_Leisure
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,1,-0.370444406638876,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,0,0,1,0,0,0
0,0,1,-0.013424468937022815,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7993729356811624,0,0,1,0,0,1,0,1,0
1,0,0,0.13689971535849432,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,1,0,1,0,0,1
1,0,0,0.13689971535849432,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,1,0,1,0,0,1
1,0,1,0.5502912221711664,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,1,0,0,1,0,1,0
1,0,0,0.13689971535849432,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,1,0,1,0,0,1
1,0,0,0.13689971535849432,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,1,0,1,0,0,1
1,0,0,-1.0281127129317635,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,1,0,0,1,0,1,0
1,0,1,-0.370444406638876,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,0,0,0,1,0,0,0
1,0,0,0.13689971535849432,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,1,0,1,0,0,1
0,0,0,-0.5708766523662322,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.8372228673231247,0,0,0,0,0,1,0,0,0
0,0,1,1.6839861120665252,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,1,0,0,1,0,1,0
1,0,0,-0.842086534866061,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,1,0,0,1,0,1,0
1,0,0,1.3833377434754908,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,1,0,0,1,0,1,0
1,0,0,0.9135746675519996,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,0,0,1,0,0,0
1,0,0,-0.6397752368350109,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.8151534518464476,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,1,0,1,0,0,1
1,0,0,0.5502912221711664,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7615230040392001,0,0,1,0,0,1,0,1,0
1,0,0,0.13689971535849432,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,1,0,1,0,0,1
1,0,0,0.5200926042608831,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,1,0,1,0,0,1
1,0,0,0.13689971535849432,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,1,0,1,0,0,1
1,0,1,1.740357681177344,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,1,0,0,1,0,1,0
1,0,0,2.6922229431519162,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7236730723972379,0,0,1,0,0,1,0,1,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,0,0,1,0,0,0
1,0,1,-0.7775724057725683,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7804479698601813,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,1,-0.7775724057725683,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,0,0,0,1,0,0,0
1,0,0,0.7194059295036233,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,0,0.7194059295036233,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
0,0,1,0.23711583822217241,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,1.5399254354499876,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,0,0,1,0,0,0
1,0,0,0.9135746675519996,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,0,0,1,0,0,0
1,0,0,1.5399254354499876,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,0,0,1,0,0,0
1,0,0,0.9135746675519996,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,0,0,1,0,0,0
1,0,0,-1.5166663118921944,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,1,0,0,1,0,1,0
1,0,0,0.9135746675519996,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,0,0,1,0,0,0
1,0,0,0.9135746675519996,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,0,0,1,0,0,0
1,0,0,0.4375480839495286,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,0,0,1,0,0,0
1,0,1,0.9135746675519996,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,1,0,0,1,0,1,0
1,0,1,2.166276203347976,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,1,0,0,1,0,1,0
1,0,1,0.9135746675519996,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,1,0,0,1,0,1,0
1,0,1,0.5377642068132067,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,0,1,0,1,0,0,1
1,0,0,0.788304513972402,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7236730723972379,0,0,1,0,0,1,0,1,0
1,0,0,-0.6397752368350109,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,1.6025605122397866,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,0,1,0,1,0,0,1
